name;group;mean;se;lb;ub;pvalue;sample
out_voice_alt;Baseline;0,278440092;0,046704864;0,181015453;0,37586473;1,56619E-09;512
out_voice_alt;Endline;0,892857143;0,059674251;0,765664487;1,020049798;1,56619E-09;512
out_voice_alt;Difference;0,614417051;0,07519143;0,461609679;0,767224423;1,56619E-09;512
out_voice_nr_alt;Baseline;0,717800225;0,175505524;0,351702118;1,083898332;0,000394139;481
out_voice_nr_alt;Endline;5,285714286;1,171837344;2,754113617;7,817314954;0,000394139;481
out_voice_nr_alt;Difference;4,56791406;1,158146744;2,211646793;6,924181328;0,000394139;481
out_r2fknowledge;Baseline;1,212510539;0,063081295;1,080925263;1,344095816;5,97137E-05;512
out_r2fknowledge;Endline;1,714285714;0,091191992;1,519914584;1,908656845;5,97137E-05;512
out_r2fknowledge;Difference;0,501775175;0,109548835;0,279145157;0,724405193;5,97137E-05;512
out_r2fknowledgeland;Baseline;1,342448947;0,09901202;1,135913492;1,548984402;3,20676E-05;512
out_r2fknowledgeland;Endline;2,142857143;0,137003493;1,850841111;2,434873175;3,20676E-05;512
out_r2fknowledgeland;Difference;0,800408196;0,16708796;0,460844606;1,139971786;3,20676E-05;512
out_r2fknowledgeforest;Baseline;1,350178662;0,103872915;1,133503559;1,566853765;0,005574702;512
out_r2fknowledgeforest;Endline;1,857142857;0,138414898;1,562118487;2,152167228;0,005574702;512
out_r2fknowledgeforest;Difference;0,506964195;0,171284638;0,158871929;0,855056461;0,005574702;512
out_r2fknowledgeseeds;Baseline;1,071782276;0,026160136;1,017213189;1,126351363;0,000335791;512
out_r2fknowledgeseeds;Endline;1,5;0,104328106;1,277629905;1,722370095;0,000335791;512
out_r2fknowledgeseeds;Difference;0,428217724;0,107394528;0,209965784;0,646469663;0,000335791;512
out_r2fknowledgeinvest;Baseline;1,085632273;0,049989476;0,981356054;1,189908492;0,005727972;512
out_r2fknowledgeinvest;Endline;1,357142857;0,079565668;1,18755265;1,526733064;0,005727972;512
out_r2fknowledgeinvest;Difference;0,271510584;0,092061805;0,084418487;0,458602682;0,005727972;512
