name;group;mean;se;lb;ub;pvalue;sample
out_voice_alt;Baseline;0,273469824;0,031182352;0,208424577;0,338515072;0,768136302;562
out_voice_alt;Endline;0,29787234;0,078673166;0,131092678;0,464652003;0,768136302;562
out_voice_alt;Difference;0,024402516;0,082149774;-0,142204947;0,191009979;0,768136302;562
out_voice_nr_alt;Baseline;0,773320028;0,210090569;0,33507878;1,211561277;0,933634765;531
out_voice_nr_alt;Endline;0,804878049;0,316258148;0,130789763;1,478966334;0,933634765;531
out_voice_nr_alt;Difference;0,031558021;0,376256526;-0,732283335;0,795399376;0,933634765;531
out_r2fknowledge;Baseline;1,207817683;0,03478253;1,135262598;1,280372768;0,406133953;562
out_r2fknowledge;Endline;1,292553191;0,09696025;1,087006643;1,49809974;0,406133953;562
out_r2fknowledge;Difference;0,084735508;0,10080647;-0,119709489;0,289180506;0,406133953;562
out_r2fknowledgeland;Baseline;1,311979361;0,040009699;1,228520592;1,395438131;0,553504405;562
out_r2fknowledgeland;Endline;1,382978723;0,114171807;1,140945305;1,625012142;0,553504405;562
out_r2fknowledgeland;Difference;0,070999362;0,118704194;-0,169743901;0,311742626;0,553504405;562
out_r2fknowledgeforest;Baseline;1,283414068;0,048983519;1,181236238;1,385591898;0,799308411;562
out_r2fknowledgeforest;Endline;1,319148936;0,133422345;1,036306199;1,601991673;0,799308411;562
out_r2fknowledgeforest;Difference;0,035734868;0,139518459;-0,247221682;0,318691418;0,799308411;562
out_r2fknowledgeseeds;Baseline;1,145330545;0,044163701;1,053206679;1,237454411;0,199576113;562
out_r2fknowledgeseeds;Endline;1,29787234;0,111223469;1,062089119;1,533655562;0,199576113;562
out_r2fknowledgeseeds;Difference;0,152541795;0,116731603;-0,084200869;0,38928446;0,199576113;562
out_r2fknowledgeinvest;Baseline;1,090546758;0,032926437;1,021863413;1,159230103;0,343339484;562
out_r2fknowledgeinvest;Endline;1,170212766;0,076940922;1,007105298;1,333320233;0,343339484;562
out_r2fknowledgeinvest;Difference;0,079666008;0,082964629;-0,088594057;0,247926074;0,343339484;562
